
wavelength,intensity
3.482993164e+02,3.249851579e-04
3.484094238e+02,-2.579247302e-05
3.485195618e+02,-7.892497233e-04
3.486296997e+02,-2.151092282e-03
3.487398376e+02,-1.263831160e-03
3.488499756e+02,-6.860797876e-04
3.489601135e+02,1.315416186e-03
3.490702820e+02,-1.908643026e-04
3.491804199e+02,1.274148235e-03
3.492905884e+02,-1.181295258e-03
3.494007568e+02,5.519589176e-04
3.495109253e+02,4.281550646e-04
3.496211243e+02,5.106909666e-04
3.497312927e+02,6.138609024e-04
3.498414917e+02,1.604291843e-03
3.499516907e+02,-1.181295258e-03
3.500618896e+02,1.150344382e-03
3.501720886e+02,1.599133393e-04
3.502822876e+02,-1.057491405e-03
3.503925171e+02,-3.353021457e-04
3.505027466e+02,8.557942696e-03
3.506129761e+02,-7.067137631e-04
3.507232056e+02,5.313249421e-04
3.508334351e+02,2.409016946e-03
3.509436951e+02,-3.559361503e-04
3.510539246e+02,-1.428903081e-03
3.511641846e+02,1.129710348e-03
3.512744446e+02,-6.448118365e-04
3.513847046e+02,1.728095696e-03
3.514949951e+02,-7.067137631e-04
3.516052551e+02,1.418586005e-03
3.517155457e+02,1.005906495e-03
3.518258362e+02,2.615356818e-03
3.519361267e+02,4.266075324e-03
3.520464172e+02,-1.201929292e-03
3.521567078e+02,5.674344357e-05
3.522670288e+02,2.305847127e-03
3.523773499e+02,3.610946442e-05
3.524876404e+02,1.026540413e-03
3.525979919e+02,3.868871136e-04
3.527083130e+02,-6.448118365e-04
3.528186340e+02,-1.078125439e-03
3.529289856e+02,5.725928931e-04
3.530393372e+02,-5.158494787e-06
3.531496887e+02,-2.336798236e-03
3.532600403e+02,-2.734002192e-04
3.533703918e+02,-1.119393390e-03
3.534807739e+02,1.439220039e-03
3.535911255e+02,-1.738412771e-03
3.537015076e+02,1.480487990e-03
3.538118896e+02,-6.654458120e-04
3.539222717e+02,2.120141406e-03
3.540326538e+02,-3.146681702e-04
3.541430664e+02,1.336050103e-03
3.542534790e+02,1.913801534e-03
3.543638916e+02,-5.158494787e-06
3.544743042e+02,-1.140027307e-03
3.545847168e+02,9.233705350e-04
3.546951294e+02,6.138609024e-04
3.548055725e+02,3.456191625e-04
3.549159851e+02,7.376647554e-04
3.550264282e+02,2.842330607e-03
3.551368713e+02,3.874029499e-03
3.552473450e+02,-2.321322681e-04
3.553577881e+02,6.551288534e-04
3.554682617e+02,2.780428622e-03
3.555787354e+02,3.610946442e-05
3.556891785e+02,-2.997085452e-03
3.557996826e+02,-5.003740080e-04
3.559101562e+02,-1.717778738e-03
3.560206299e+02,7.995666820e-04
3.561311340e+02,1.459853956e-03
3.562416382e+02,-2.728843829e-03
3.563521423e+02,3.832761664e-03
3.564626465e+02,-4.797400034e-04
3.565731506e+02,6.551288534e-04
3.566836853e+02,-1.346367178e-03
3.567941895e+02,-2.460601972e-03
3.569047241e+02,-1.944752526e-03
3.570152588e+02,-1.263831160e-03
3.571257935e+02,9.801139822e-05
3.572363586e+02,-1.702303271e-04
3.573468933e+02,-6.654458120e-04
3.574574585e+02,-1.325733145e-03
3.575680237e+02,-1.738412771e-03
3.576785889e+02,-2.914549550e-03
3.577891541e+02,1.253514201e-03
3.578997192e+02,-1.057491405e-03
3.580103149e+02,1.356684137e-03
3.581209106e+02,-1.289623760e-04
3.582315063e+02,-1.284465194e-03
3.583421021e+02,3.249851579e-04
3.584526978e+02,-4.384720523e-04
3.585632935e+02,-8.305176743e-04
3.586739197e+02,1.805473148e-04
3.587845459e+02,-3.698640736e-03
3.588951721e+02,-6.035438855e-04
3.590057983e+02,-1.635242836e-03
3.591164246e+02,5.674344357e-05
3.592270508e+02,9.027365595e-04
3.593377075e+02,-1.552706934e-03
3.594483643e+02,2.140775323e-03
3.595590210e+02,-9.749555029e-04
3.596696777e+02,-3.972041013e-04
3.597803345e+02,-1.511438983e-03
3.598910217e+02,2.120141406e-03
3.600016785e+02,-6.241778610e-04
3.601123657e+02,-1.140027307e-03
3.602230530e+02,2.326481044e-03
3.603337402e+02,-6.706043496e-05
3.604444580e+02,2.305847127e-03
3.605551453e+02,3.894663649e-03
3.606658630e+02,1.418586005e-03
3.607765808e+02,2.120141406e-03
3.608872986e+02,6.757628289e-04
3.609980164e+02,-3.801810555e-03
3.611087341e+02,2.630832314e-04
3.612194824e+02,-1.495963515e-04
3.613302002e+02,2.037605504e-03
3.614409485e+02,1.170978299e-03
3.615516968e+02,-2.321322681e-04
3.616624451e+02,1.521755941e-03
3.617732239e+02,8.821025840e-04
3.618839722e+02,-1.305099227e-03
3.619947510e+02,4.694230156e-04
3.621055298e+02,-1.655876869e-03
3.622163086e+02,2.182043390e-03
3.623270874e+02,-1.016223454e-03
3.624378662e+02,2.243945142e-03
3.625486755e+02,-1.702303271e-04
3.626594849e+02,6.344948779e-04
3.627702942e+02,-2.728843829e-03
3.628811035e+02,-3.347862978e-03
3.629919128e+02,-7.273477386e-04
3.631027222e+02,1.274148235e-03
3.632135620e+02,-2.579247302e-05
3.633243713e+02,-1.181295258e-03
3.634352112e+02,2.161409240e-03
3.635460510e+02,3.812127514e-03
3.636569214e+02,9.801139822e-05
3.637677612e+02,2.011812903e-04
3.638786316e+02,-1.083283933e-04
3.639894714e+02,-5.210079835e-04
3.641003418e+02,-2.006654395e-03
3.642112122e+02,1.377318054e-03
3.643221130e+02,-7.067137631e-04
3.644329834e+02,9.801139822e-05
3.645438843e+02,1.186453810e-04
3.646547546e+02,3.255010117e-03
3.647656555e+02,-1.305099227e-03
3.648765564e+02,1.542389975e-03
3.649874878e+02,-1.181295258e-03
3.650983887e+02,-3.471666947e-03
3.652093201e+02,-4.591060278e-04
3.653202209e+02,-2.006654395e-03
3.654311523e+02,-1.593974885e-03
3.655420837e+02,-2.114982781e-04
3.656530457e+02,-1.428903081e-03
3.657639771e+02,1.418586005e-03
3.658749390e+02,1.547548345e-05
3.659859009e+02,-8.924196009e-04
3.660968323e+02,-1.573340851e-03
3.662078247e+02,-5.622759345e-04
3.663187866e+02,-1.903484575e-03
3.664297485e+02,-5.158494787e-06
3.665407410e+02,4.281550646e-04
3.666517334e+02,1.191612333e-03
3.667627258e+02,-4.028784577e-03
3.668737183e+02,9.852724615e-04
3.669847107e+02,-7.273477386e-04
3.670957031e+02,-2.378066070e-03
3.672067261e+02,-3.972041013e-04
3.673177490e+02,9.801139822e-05
3.674287720e+02,-2.295530168e-03
3.675397949e+02,3.868871136e-04
3.676508179e+02,-1.181295258e-03
3.677618713e+02,-1.119393390e-03
3.678728943e+02,-1.098759356e-03
3.679839478e+02,-7.067137631e-04
3.680950012e+02,-3.285961226e-03
3.682060547e+02,1.831265632e-03
3.683171082e+02,1.418586005e-03
3.684281921e+02,9.646385442e-04
3.685392456e+02,-1.944752526e-03
3.686503296e+02,3.110572230e-03
3.687614136e+02,-8.305176743e-04
3.688724976e+02,7.376647554e-04
3.689836121e+02,-1.119393390e-03
3.690946960e+02,1.336050103e-03
3.692058105e+02,1.599133393e-04
3.693168945e+02,1.026540413e-03
3.694280090e+02,-9.336875519e-04
3.695391235e+02,1.810631715e-03
3.696502686e+02,-2.006654395e-03
3.697613831e+02,-2.997085452e-03
3.698725281e+02,-6.035438855e-04
3.699836426e+02,1.392793638e-04
3.700947876e+02,-7.479817141e-04
3.702059631e+02,1.439220039e-03
3.703171082e+02,-1.367001096e-03
3.704282532e+02,-3.559361503e-04
3.705394287e+02,-3.972041013e-04
3.706506042e+02,-6.654458120e-04
3.707617798e+02,-6.035438855e-04
3.708729553e+02,1.191612333e-03
3.709841309e+02,-1.697144820e-03
3.710953064e+02,3.043511824e-04
3.712065125e+02,-8.305176743e-04
3.713177185e+02,-1.495963515e-04
3.714289246e+02,-2.734002192e-04
3.715401306e+02,4.075210891e-04
3.716513367e+02,2.326481044e-03
3.717625427e+02,-9.543215274e-04
3.718737793e+02,1.805473148e-04
3.719850159e+02,1.047174446e-03
3.720962524e+02,6.551288534e-04
3.722074890e+02,1.191612333e-03
3.723187256e+02,-1.717778738e-03
3.724299622e+02,-2.321322681e-04
3.725412292e+02,-3.972041013e-04
3.726524963e+02,-9.336875519e-04
3.727637329e+02,1.336050103e-03
3.728750305e+02,1.088442397e-03
3.729862976e+02,-1.428903081e-03
3.730975647e+02,-5.829099100e-04
3.732088623e+02,1.088442397e-03
3.733201294e+02,2.780428622e-03
3.734314270e+02,-1.573340851e-03
3.735427246e+02,1.109076315e-03
3.736540527e+02,-4.178380768e-04
3.737653503e+02,-5.622759345e-04
3.738766479e+02,-2.460601972e-03
3.739879761e+02,2.218152804e-04
3.740993042e+02,-2.254262101e-03
3.742106323e+02,-1.083283933e-04
3.743219604e+02,-5.210079835e-04
3.744333191e+02,8.202006575e-04
3.745446472e+02,9.027365595e-04
3.746560059e+02,1.599133393e-04
3.747673645e+02,3.043511824e-04
3.748787231e+02,1.356684137e-03
3.749900818e+02,-5.829099100e-04
3.751014404e+02,2.429651096e-03
3.752128296e+02,-2.734002192e-04
3.753241882e+02,1.624925877e-03
3.754355774e+02,-1.083283933e-04
3.755469666e+02,-2.151092282e-03
3.756583557e+02,-1.289623760e-04
3.757697754e+02,-7.273477386e-04
3.758811646e+02,-2.501870040e-03
3.759925842e+02,-1.552706934e-03
3.761040039e+02,-2.579247302e-05
3.762154236e+02,1.480487990e-03
3.763268433e+02,1.604291843e-03
3.764382629e+02,1.805473148e-04
3.765496826e+02,3.043511824e-04
3.766611328e+02,2.739160787e-03
3.767725830e+02,1.294782152e-03
3.768840332e+02,6.344948779e-04
3.769954834e+02,-2.378066070e-03
3.771069336e+02,4.900569911e-04
3.772184143e+02,-2.728843829e-03
3.773298645e+02,9.027365595e-04
3.774413452e+02,-6.860797876e-04
3.775528259e+02,7.789327065e-04
3.776643066e+02,-2.527662436e-04
3.777757874e+02,1.872533583e-03
3.778872986e+02,-1.511438983e-03
3.779987793e+02,5.725928931e-04
3.781102905e+02,-6.448118365e-04
3.782218018e+02,-2.527662436e-04
3.783333130e+02,5.313249421e-04
3.784448242e+02,-8.924196009e-04
3.785563354e+02,-2.527662436e-04
3.786678772e+02,-7.067137631e-04
3.787794189e+02,1.418586005e-03
3.788909302e+02,-5.003740080e-04
3.790025024e+02,6.344948779e-04
3.791140442e+02,-7.686156896e-04
3.792255859e+02,-2.109824447e-03
3.793371582e+02,1.005906495e-03
3.794487000e+02,-1.140027307e-03
3.795602722e+02,-2.543137874e-03
3.796718445e+02,1.392793638e-04
3.797834167e+02,3.662531381e-04
3.798949890e+02,-5.622759345e-04
3.800065918e+02,2.011812903e-04
3.801181946e+02,9.233705350e-04
3.802297668e+02,3.296278184e-03
3.803413696e+02,-2.212994266e-03
3.804529724e+02,1.088442397e-03
3.805646057e+02,1.624925877e-03
3.806762085e+02,5.674344357e-05
3.807878418e+02,1.186453810e-04
3.808994446e+02,-1.552706934e-03
3.810110779e+02,1.150344382e-03
3.811227112e+02,-2.321322681e-04
3.812343750e+02,4.900569911e-04
3.813460083e+02,8.821025840e-04
3.814576721e+02,-1.181295258e-03
3.815693054e+02,-8.717856253e-04
3.816809692e+02,1.501122024e-03
3.817926331e+02,4.694230156e-04
3.819043274e+02,-2.006654395e-03
3.820159912e+02,-1.181295258e-03
3.821276550e+02,-1.140027307e-03
3.822393494e+02,-2.398699988e-03
3.823510437e+02,-2.734002192e-04
3.824627380e+02,-3.972041013e-04
3.825744324e+02,1.645559794e-03
3.826861267e+02,1.789997681e-03
3.827978516e+02,-5.416419590e-04
3.829095459e+02,2.594722901e-03
3.830212708e+02,-2.579247302e-05
